t,dataset,seed
0,S4_feedback_mixed_lag,6
1,S4_feedback_mixed_lag,6
2,S4_feedback_mixed_lag,6
3,S4_feedback_mixed_lag,6
4,S4_feedback_mixed_lag,6
5,S4_feedback_mixed_lag,6
6,S4_feedback_mixed_lag,6
7,S4_feedback_mixed_lag,6
8,S4_feedback_mixed_lag,6
9,S4_feedback_mixed_lag,6
10,S4_feedback_mixed_lag,6
11,S4_feedback_mixed_lag,6
12,S4_feedback_mixed_lag,6
13,S4_feedback_mixed_lag,6
14,S4_feedback_mixed_lag,6
15,S4_feedback_mixed_lag,6
16,S4_feedback_mixed_lag,6
17,S4_feedback_mixed_lag,6
18,S4_feedback_mixed_lag,6
19,S4_feedback_mixed_lag,6
20,S4_feedback_mixed_lag,6
21,S4_feedback_mixed_lag,6
22,S4_feedback_mixed_lag,6
23,S4_feedback_mixed_lag,6
24,S4_feedback_mixed_lag,6
25,S4_feedback_mixed_lag,6
26,S4_feedback_mixed_lag,6
27,S4_feedback_mixed_lag,6
28,S4_feedback_mixed_lag,6
29,S4_feedback_mixed_lag,6
30,S4_feedback_mixed_lag,6
31,S4_feedback_mixed_lag,6
32,S4_feedback_mixed_lag,6
33,S4_feedback_mixed_lag,6
34,S4_feedback_mixed_lag,6
35,S4_feedback_mixed_lag,6
36,S4_feedback_mixed_lag,6
37,S4_feedback_mixed_lag,6
38,S4_feedback_mixed_lag,6
39,S4_feedback_mixed_lag,6
40,S4_feedback_mixed_lag,6
41,S4_feedback_mixed_lag,6
42,S4_feedback_mixed_lag,6
43,S4_feedback_mixed_lag,6
44,S4_feedback_mixed_lag,6
45,S4_feedback_mixed_lag,6
46,S4_feedback_mixed_lag,6
47,S4_feedback_mixed_lag,6
48,S4_feedback_mixed_lag,6
49,S4_feedback_mixed_lag,6
50,S4_feedback_mixed_lag,6
51,S4_feedback_mixed_lag,6
52,S4_feedback_mixed_lag,6
53,S4_feedback_mixed_lag,6
54,S4_feedback_mixed_lag,6
55,S4_feedback_mixed_lag,6
56,S4_feedback_mixed_lag,6
57,S4_feedback_mixed_lag,6
58,S4_feedback_mixed_lag,6
59,S4_feedback_mixed_lag,6
60,S4_feedback_mixed_lag,6
61,S4_feedback_mixed_lag,6
62,S4_feedback_mixed_lag,6
63,S4_feedback_mixed_lag,6
64,S4_feedback_mixed_lag,6
