t,hidden_U,dataset,seed
0,0.13814508090442668,S2_hidden_confounder,1
1,-0.11917315429142357,S2_hidden_confounder,1
2,-0.10404613119257794,S2_hidden_confounder,1
3,0.26223692694677675,S2_hidden_confounder,1
4,0.11302331623929932,S2_hidden_confounder,1
5,-0.15142594177836102,S2_hidden_confounder,1
6,-0.7902958018062779,S2_hidden_confounder,1
7,-0.2900141699395034,S2_hidden_confounder,1
8,-0.15198683132514346,S2_hidden_confounder,1
9,-0.25293482651938043,S2_hidden_confounder,1
10,-0.6821249470980969,S2_hidden_confounder,1
11,-0.8756740535639325,S2_hidden_confounder,1
12,-1.3644908311001913,S2_hidden_confounder,1
13,0.2904765561933403,S2_hidden_confounder,1
14,0.6154344750982125,S2_hidden_confounder,1
15,1.8523456044291255,S2_hidden_confounder,1
16,-0.0025231564530138945,S2_hidden_confounder,1
17,-1.2066696851060321,S2_hidden_confounder,1
18,-0.6752515594664458,S2_hidden_confounder,1
19,-0.6516531474130592,S2_hidden_confounder,1
20,-0.8404370889103877,S2_hidden_confounder,1
21,-1.0764081591949208,S2_hidden_confounder,1
22,-0.9848601521570409,S2_hidden_confounder,1
23,-2.614503706946511,S2_hidden_confounder,1
24,-0.08963914508529514,S2_hidden_confounder,1
25,-0.34818299403956254,S2_hidden_confounder,1
26,-0.4373019927964989,S2_hidden_confounder,1
27,0.34407162336761904,S2_hidden_confounder,1
28,0.07562104199648033,S2_hidden_confounder,1
29,0.25960750154905077,S2_hidden_confounder,1
30,0.6672095463805509,S2_hidden_confounder,1
31,1.0024167338787786,S2_hidden_confounder,1
32,1.0678032807943871,S2_hidden_confounder,1
33,1.5299363741297514,S2_hidden_confounder,1
34,1.8706207881858323,S2_hidden_confounder,1
35,1.4022606581644295,S2_hidden_confounder,1
36,1.3868340982545004,S2_hidden_confounder,1
37,0.6014648430510767,S2_hidden_confounder,1
38,1.0233913727864925,S2_hidden_confounder,1
39,-0.213011600818363,S2_hidden_confounder,1
40,-1.1458167256396465,S2_hidden_confounder,1
41,-1.3386063857470651,S2_hidden_confounder,1
42,-0.544947670753464,S2_hidden_confounder,1
43,-0.7797102841854475,S2_hidden_confounder,1
44,-0.7531878734631181,S2_hidden_confounder,1
45,0.41652475486313306,S2_hidden_confounder,1
46,1.5210759538602223,S2_hidden_confounder,1
47,2.6932467681837173,S2_hidden_confounder,1
48,2.7411235063084534,S2_hidden_confounder,1
49,2.4579947203421515,S2_hidden_confounder,1
50,2.1593225398859626,S2_hidden_confounder,1
51,0.7846229275028714,S2_hidden_confounder,1
52,0.7214606046435302,S2_hidden_confounder,1
53,0.4875706108075784,S2_hidden_confounder,1
54,1.1736176522401314,S2_hidden_confounder,1
55,1.2787842863653858,S2_hidden_confounder,1
56,0.2795726896786274,S2_hidden_confounder,1
57,0.0424815073215113,S2_hidden_confounder,1
58,0.4861166793319176,S2_hidden_confounder,1
59,0.52784557618963,S2_hidden_confounder,1
60,-0.01956949252546266,S2_hidden_confounder,1
61,0.6658667550585378,S2_hidden_confounder,1
62,-0.851207724768983,S2_hidden_confounder,1
63,-0.13762665043769232,S2_hidden_confounder,1
64,-0.6794246351215526,S2_hidden_confounder,1
65,-1.5172423074927783,S2_hidden_confounder,1
66,-1.278632521305562,S2_hidden_confounder,1
67,-0.04618300031565652,S2_hidden_confounder,1
68,-1.1623058183880473,S2_hidden_confounder,1
69,-0.9283038620743174,S2_hidden_confounder,1
70,-0.6433761736452002,S2_hidden_confounder,1
71,-0.7736555225102882,S2_hidden_confounder,1
72,-0.840786988290843,S2_hidden_confounder,1
73,-0.6780948118923745,S2_hidden_confounder,1
74,-0.33099173552152583,S2_hidden_confounder,1
75,0.8253480512118491,S2_hidden_confounder,1
76,-1.422598323311942,S2_hidden_confounder,1
77,-0.8176561086702534,S2_hidden_confounder,1
78,0.06667062650555125,S2_hidden_confounder,1
79,-1.2356041142049603,S2_hidden_confounder,1
80,-0.4154374685248241,S2_hidden_confounder,1
81,0.4036572462546377,S2_hidden_confounder,1
82,-0.021106457648969873,S2_hidden_confounder,1
83,0.15900261902782084,S2_hidden_confounder,1
84,-0.32998592955810263,S2_hidden_confounder,1
85,-1.145185333990327,S2_hidden_confounder,1
86,-1.2092845337259017,S2_hidden_confounder,1
87,-1.356915417223778,S2_hidden_confounder,1
88,-0.28239636648906447,S2_hidden_confounder,1
89,-0.6735604286022697,S2_hidden_confounder,1
90,-0.0004046204858530199,S2_hidden_confounder,1
91,0.6355697455493033,S2_hidden_confounder,1
92,1.299676069818985,S2_hidden_confounder,1
93,0.930465335814504,S2_hidden_confounder,1
94,1.0117284836878357,S2_hidden_confounder,1
95,0.12492198824495712,S2_hidden_confounder,1
96,-0.662469680045414,S2_hidden_confounder,1
97,0.6862228244714172,S2_hidden_confounder,1
98,1.2495492659334033,S2_hidden_confounder,1
99,0.12455890949224357,S2_hidden_confounder,1
100,-0.5510162365085336,S2_hidden_confounder,1
101,0.8517982265108478,S2_hidden_confounder,1
102,0.8058794141547253,S2_hidden_confounder,1
103,1.4134866364475245,S2_hidden_confounder,1
104,2.071750471331656,S2_hidden_confounder,1
105,1.3370751823808045,S2_hidden_confounder,1
106,1.5984761634865439,S2_hidden_confounder,1
107,0.26533006473512943,S2_hidden_confounder,1
108,0.15436100282114387,S2_hidden_confounder,1
109,0.6837746416408783,S2_hidden_confounder,1
110,1.4823615107974915,S2_hidden_confounder,1
111,1.0427707572052576,S2_hidden_confounder,1
112,1.116771917076206,S2_hidden_confounder,1
113,0.1695424091784575,S2_hidden_confounder,1
114,0.785672534405119,S2_hidden_confounder,1
115,-0.40835374352393256,S2_hidden_confounder,1
116,-0.5475039648861227,S2_hidden_confounder,1
117,-0.4950921290063405,S2_hidden_confounder,1
118,-1.0305180262595908,S2_hidden_confounder,1
119,-1.169080108147693,S2_hidden_confounder,1
120,-1.0546068396622907,S2_hidden_confounder,1
121,-0.05339905026741397,S2_hidden_confounder,1
122,0.4129321629264259,S2_hidden_confounder,1
123,0.5291197786783919,S2_hidden_confounder,1
124,0.6248527289320156,S2_hidden_confounder,1
125,0.7116066036508076,S2_hidden_confounder,1
126,-0.203462731081349,S2_hidden_confounder,1
127,-0.39434637652761906,S2_hidden_confounder,1
128,-0.4490551896426561,S2_hidden_confounder,1
129,0.2230962215760395,S2_hidden_confounder,1
130,0.37350223411354955,S2_hidden_confounder,1
