t,dataset,seed
0,S0_linear_mixed_strength,6
1,S0_linear_mixed_strength,6
2,S0_linear_mixed_strength,6
3,S0_linear_mixed_strength,6
4,S0_linear_mixed_strength,6
5,S0_linear_mixed_strength,6
6,S0_linear_mixed_strength,6
7,S0_linear_mixed_strength,6
8,S0_linear_mixed_strength,6
9,S0_linear_mixed_strength,6
10,S0_linear_mixed_strength,6
11,S0_linear_mixed_strength,6
12,S0_linear_mixed_strength,6
13,S0_linear_mixed_strength,6
14,S0_linear_mixed_strength,6
15,S0_linear_mixed_strength,6
16,S0_linear_mixed_strength,6
17,S0_linear_mixed_strength,6
18,S0_linear_mixed_strength,6
19,S0_linear_mixed_strength,6
20,S0_linear_mixed_strength,6
21,S0_linear_mixed_strength,6
22,S0_linear_mixed_strength,6
23,S0_linear_mixed_strength,6
24,S0_linear_mixed_strength,6
25,S0_linear_mixed_strength,6
26,S0_linear_mixed_strength,6
27,S0_linear_mixed_strength,6
28,S0_linear_mixed_strength,6
29,S0_linear_mixed_strength,6
30,S0_linear_mixed_strength,6
31,S0_linear_mixed_strength,6
32,S0_linear_mixed_strength,6
33,S0_linear_mixed_strength,6
34,S0_linear_mixed_strength,6
35,S0_linear_mixed_strength,6
36,S0_linear_mixed_strength,6
37,S0_linear_mixed_strength,6
38,S0_linear_mixed_strength,6
39,S0_linear_mixed_strength,6
40,S0_linear_mixed_strength,6
41,S0_linear_mixed_strength,6
42,S0_linear_mixed_strength,6
43,S0_linear_mixed_strength,6
44,S0_linear_mixed_strength,6
45,S0_linear_mixed_strength,6
46,S0_linear_mixed_strength,6
47,S0_linear_mixed_strength,6
48,S0_linear_mixed_strength,6
49,S0_linear_mixed_strength,6
50,S0_linear_mixed_strength,6
51,S0_linear_mixed_strength,6
52,S0_linear_mixed_strength,6
53,S0_linear_mixed_strength,6
54,S0_linear_mixed_strength,6
55,S0_linear_mixed_strength,6
56,S0_linear_mixed_strength,6
57,S0_linear_mixed_strength,6
58,S0_linear_mixed_strength,6
59,S0_linear_mixed_strength,6
60,S0_linear_mixed_strength,6
61,S0_linear_mixed_strength,6
62,S0_linear_mixed_strength,6
63,S0_linear_mixed_strength,6
64,S0_linear_mixed_strength,6
65,S0_linear_mixed_strength,6
66,S0_linear_mixed_strength,6
67,S0_linear_mixed_strength,6
68,S0_linear_mixed_strength,6
69,S0_linear_mixed_strength,6
70,S0_linear_mixed_strength,6
71,S0_linear_mixed_strength,6
72,S0_linear_mixed_strength,6
73,S0_linear_mixed_strength,6
74,S0_linear_mixed_strength,6
75,S0_linear_mixed_strength,6
76,S0_linear_mixed_strength,6
77,S0_linear_mixed_strength,6
78,S0_linear_mixed_strength,6
79,S0_linear_mixed_strength,6
80,S0_linear_mixed_strength,6
81,S0_linear_mixed_strength,6
82,S0_linear_mixed_strength,6
83,S0_linear_mixed_strength,6
84,S0_linear_mixed_strength,6
85,S0_linear_mixed_strength,6
86,S0_linear_mixed_strength,6
87,S0_linear_mixed_strength,6
88,S0_linear_mixed_strength,6
89,S0_linear_mixed_strength,6
90,S0_linear_mixed_strength,6
91,S0_linear_mixed_strength,6
92,S0_linear_mixed_strength,6
93,S0_linear_mixed_strength,6
94,S0_linear_mixed_strength,6
95,S0_linear_mixed_strength,6
96,S0_linear_mixed_strength,6
97,S0_linear_mixed_strength,6
98,S0_linear_mixed_strength,6
99,S0_linear_mixed_strength,6
100,S0_linear_mixed_strength,6
101,S0_linear_mixed_strength,6
102,S0_linear_mixed_strength,6
103,S0_linear_mixed_strength,6
104,S0_linear_mixed_strength,6
105,S0_linear_mixed_strength,6
106,S0_linear_mixed_strength,6
107,S0_linear_mixed_strength,6
108,S0_linear_mixed_strength,6
109,S0_linear_mixed_strength,6
110,S0_linear_mixed_strength,6
111,S0_linear_mixed_strength,6
112,S0_linear_mixed_strength,6
113,S0_linear_mixed_strength,6
114,S0_linear_mixed_strength,6
115,S0_linear_mixed_strength,6
116,S0_linear_mixed_strength,6
117,S0_linear_mixed_strength,6
118,S0_linear_mixed_strength,6
